database_name;schema_name;object_name;object_type;object_type_desc;create_date;modify_date
COGE;dbo;DF__dtpropert__versi__45BE5BA9;D ;DEFAULT_CONSTRAINT;2004-04-21 14:43:54.747;2004-04-21 14:43:54.747
COGE;dbo;DF__TbCii__CiiNatura__0ECE1972;D ;DEFAULT_CONSTRAINT;2017-09-15 06:01:00.907;2017-09-15 06:01:00.907
COGE;dbo;DF__TbCii__CiiSoggBo__3B6BB5BF;D ;DEFAULT_CONSTRAINT;2019-01-23 17:26:33.610;2019-01-23 17:26:33.610
COGE;dbo;DF__TBCMVP__VpMetodo__70148828;D ;DEFAULT_CONSTRAINT;2018-05-09 08:19:16.493;2018-05-09 08:19:16.493
COGE;dbo;DF__TBCMVP__VpOperaz__6F2063EF;D ;DEFAULT_CONSTRAINT;2018-05-09 08:19:16.477;2018-05-09 08:19:16.477
COGE;dbo;DF__TbDDiCl__DDiImpo__288DEB75;D ;DEFAULT_CONSTRAINT;2017-12-06 02:54:21.450;2017-12-06 02:54:21.450
COGE;dbo;DF__TbDDiCl__DDiProt__3C5FD9F8;D ;DEFAULT_CONSTRAINT;2019-01-23 17:26:33.730;2019-01-23 17:26:33.730
COGE;dbo;DF__TbEse__EseGConto__3805392F;D ;DEFAULT_CONSTRAINT;2016-11-11 05:01:19.480;2016-11-11 05:01:19.480
COGE;dbo;DF__TbFte_Tip__FteTd__74F938D6;D ;DEFAULT_CONSTRAINT;2020-07-13 08:34:46.467;2020-07-13 08:34:46.467
COGE;dbo;DF__TbFte_Tip__FteTd__75ED5D0F;D ;DEFAULT_CONSTRAINT;2020-07-13 08:34:46.470;2020-07-13 08:34:46.470
COGE;dbo;DF__TbFte_Tip__FteTd__76E18148;D ;DEFAULT_CONSTRAINT;2020-07-13 08:34:46.470;2020-07-13 08:34:46.470
COGE;dbo;DF__TbPaesi__PaIntra__185783AC;D ;DEFAULT_CONSTRAINT;2017-09-21 14:24:30.717;2017-09-21 14:24:30.717
COGE;dbo;DF__TbPag__PagCodFE__32D66FBE;D ;DEFAULT_CONSTRAINT;2018-10-27 04:00:04.150;2018-10-27 04:00:04.150
COGE;dbo;DF__TbRegIva__RIvaFt__3D53FE31;D ;DEFAULT_CONSTRAINT;2019-01-23 17:26:33.733;2019-01-23 17:26:33.733
COGE;dbo;DF__TbRegIva__RivaTi__5C4D869D;D ;DEFAULT_CONSTRAINT;2022-01-18 17:06:58.737;2022-01-18 17:06:58.737
COGE;dbo;DF__TbRegXML___RxInv__02BD4848;D ;DEFAULT_CONSTRAINT;2019-04-11 10:30:45.853;2019-04-11 10:30:45.853
