database_name;schema_name;routine_name;type_desc;create_date;modify_date
COGE;dbo;FnContaRicevute;SQL_INLINE_TABLE_VALUED_FUNCTION;2005-02-01 16:38:32.590;2024-06-03 11:34:53.783
COGE;dbo;fnControllo;SQL_INLINE_TABLE_VALUED_FUNCTION;2007-02-06 16:26:51.297;2024-06-03 11:34:53.783
COGE;dbo;fnFotoChIva;SQL_INLINE_TABLE_VALUED_FUNCTION;2019-02-21 04:00:39.403;2024-06-03 11:34:53.783
COGE;dbo;fnFotoRIva;SQL_INLINE_TABLE_VALUED_FUNCTION;2022-01-18 17:06:58.843;2024-06-03 11:34:53.783
COGE;dbo;fnSCONTIABBUONI;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-12-13 15:35:33.827;2024-06-03 11:34:53.783
COGE;dbo;FnEtichetta;SQL_SCALAR_FUNCTION;2009-06-25 16:05:26.310;2024-06-03 11:34:53.783
COGE;dbo;FnPrezzoLis;SQL_SCALAR_FUNCTION;2009-06-25 16:05:26.200;2024-06-03 11:34:53.783
COGE;dbo;FnSPEZZA;SQL_SCALAR_FUNCTION;2009-06-25 16:05:26.263;2024-06-03 11:34:53.783
COGE;dbo;NUMBER_TO_STR_BASE;SQL_SCALAR_FUNCTION;2018-07-20 12:27:21.757;2024-06-03 11:34:53.783
COGE;dbo;ADDCRSP;SQL_STORED_PROCEDURE;2004-06-25 15:45:55.590;2011-12-06 08:32:57.700
COGE;dbo;ADDIVAP;SQL_STORED_PROCEDURE;2004-06-25 15:45:55.670;2011-12-06 08:32:57.700
COGE;dbo;AggiornaBilance;SQL_STORED_PROCEDURE;2009-06-25 16:05:26.030;2011-12-06 08:32:57.647
COGE;dbo;AggiornaRicette;SQL_STORED_PROCEDURE;2009-06-25 16:05:25.857;2011-12-06 08:32:57.643
COGE;dbo;AggiornaTutteRicette;SQL_STORED_PROCEDURE;2009-06-25 16:05:25.920;2011-12-06 08:32:57.643
COGE;dbo;AprePartita;SQL_STORED_PROCEDURE;2004-06-25 15:45:55.750;2004-06-25 15:45:55.750
