database_name;schema_name;table_name;column_id;column_name;data_type;max_length;precision;scale;is_nullable;is_identity;default_definition
COGE;dbo;ABICABTXT;1;Col001;char;1;0;0;1;0;NULL
COGE;dbo;ABICABTXT;2;Col002;char;1;0;0;1;0;NULL
COGE;dbo;ABICABTXT;3;Col003;int;4;10;0;1;0;NULL
COGE;dbo;ABICABTXT;4;Col004;int;4;10;0;1;0;NULL
COGE;dbo;ABICABTXT;5;Col005;char;179;0;0;1;0;NULL
COGE;dbo;BULKPiano;1;NRATA;float;8;53;0;1;0;NULL
COGE;dbo;BULKPiano;2;DataInizio;datetime;8;23;3;1;0;NULL
COGE;dbo;BULKPiano;3;rata_sett;float;8;53;0;1;0;NULL
COGE;dbo;BULKPiano;4;Valore residuo;float;8;53;0;1;0;NULL
COGE;dbo;CRDistinta;1;Scadenza;smalldatetime;4;16;0;0;0;NULL
COGE;dbo;CRDistinta;2;Cliente;varchar;5;0;0;0;0;NULL
COGE;dbo;CRDistinta;3;RagioneSociale;varbinary;60;0;0;0;0;NULL
COGE;dbo;CRDistinta;4;Abi;varchar;5;0;0;0;0;NULL
COGE;dbo;CRDistinta;5;Cab;varchar;5;0;0;0;0;NULL
COGE;dbo;CRDistinta;6;Documento;varchar;35;0;0;0;0;NULL
COGE;dbo;CRDistinta;7;Rata;decimal;9;11;2;0;0;NULL
COGE;dbo;CRDistinta;8;Banca;varchar;50;0;0;0;0;NULL
COGE;dbo;NEWNEWSCA;2;ScaId;int;4;10;0;0;0;NULL
COGE;dbo;NEWNEWSCA;3;ScaTipoCo;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWNEWSCA;4;ScaConto;varchar;5;0;0;0;0;NULL
COGE;dbo;NEWNEWSCA;5;ScaNdoc;int;4;10;0;0;0;NULL
COGE;dbo;NEWNEWSCA;6;ScaImpDoc;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWNEWSCA;7;ScaIvaSpe;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWNEWSCA;8;ScaAbi;int;4;10;0;0;0;NULL
COGE;dbo;NEWNEWSCA;9;ScaCab;int;4;10;0;0;0;NULL
COGE;dbo;NEWNEWSCA;10;ScaImpRata;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWNEWSCA;11;ScaTPag;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWNEWSCA;12;ScaCodPag;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWNEWSCA;13;ScaNRata;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWNEWSCA;14;ScaBan;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWNEWSCA;15;ScaDdoc;smalldatetime;4;16;0;0;0;NULL
COGE;dbo;NEWNEWSCA;16;ScaDsca;smalldatetime;4;16;0;0;0;NULL
COGE;dbo;NEWNEWSCA;17;ScaRifId;int;4;10;0;0;0;NULL
COGE;dbo;NEWNEWSCA;18;ScaRifProg;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWNEWSCA;19;ScaRifDA;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWNEWSCA;20;ScaRAperta;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWNEWSCA;21;ScaImpPagato;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWSCA;1;ScaId;int;4;10;0;0;0;NULL
COGE;dbo;NEWSCA;2;ScaTipoCo;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWSCA;3;ScaConto;varchar;5;0;0;0;0;NULL
COGE;dbo;NEWSCA;4;ScaNdoc;int;4;10;0;0;0;NULL
COGE;dbo;NEWSCA;5;ScaImpDoc;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWSCA;6;ScaIvaSpe;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWSCA;7;ScaAbi;int;4;10;0;0;0;NULL
COGE;dbo;NEWSCA;8;ScaCab;int;4;10;0;0;0;NULL
COGE;dbo;NEWSCA;9;ScaImpRata;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWSCA;10;ScaTPag;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWSCA;11;ScaCodPag;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWSCA;12;ScaNRata;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWSCA;13;ScaBan;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWSCA;14;ScaDdoc;smalldatetime;4;16;0;0;0;NULL
COGE;dbo;NEWSCA;15;ScaDsca;smalldatetime;4;16;0;0;0;NULL
COGE;dbo;NEWSCA;16;ScaRifId;int;4;10;0;0;0;NULL
COGE;dbo;NEWSCA;17;ScaRifProg;smallint;2;5;0;0;0;NULL
COGE;dbo;NEWSCA;18;ScaRifDA;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWSCA;19;ScaRAperta;varchar;1;0;0;0;0;NULL
COGE;dbo;NEWSCA;20;ScaImpPagato;decimal;9;13;2;0;0;NULL
COGE;dbo;NEWSCA;21;Scadenza;datetime;8;23;3;1;0;NULL
COGE;dbo;NEWSCA;22;scoperto;decimal;9;10;2;1;0;NULL
COGE;dbo;Piano;1;NRATA;float;8;53;0;1;0;NULL
COGE;dbo;Piano;2;DataInizio;datetime;8;23;3;1;0;NULL
COGE;dbo;Piano;3;rata_sett;decimal;9;10;2;1;0;NULL
COGE;dbo;Piano;4;Valore residuo;decimal;9;10;2;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;1;Colonna 0;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;2;Colonna 1;nvarchar;510;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;3;Colonna 2;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;4;Colonna 3;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;5;Colonna 4;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;6;Colonna 5;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;7;Colonna 6;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;8;Colonna 7;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;9;Colonna 8;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;10;Colonna 9;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;11;Colonna 10;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;12;Colonna 11;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;13;Colonna 12;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PIANO_CONTI_SAS;14;Colonna 13;nvarchar;100;0;0;1;0;NULL
COGE;dbo;PROVA;1;CliFor;varchar;5;0;0;0;0;NULL
COGE;dbo;PROVA;2;Registro;smallint;2;5;0;0;0;NULL
COGE;dbo;PROVA;3;NumProt;int;4;10;0;0;0;NULL
COGE;dbo;PROVA;4;Codiva;smallint;2;5;0;0;0;NULL
COGE;dbo;PROVA;5;IdPaese;varchar;2;0;0;1;0;NULL
COGE;dbo;PROVA;6;AnaPivaEst;varchar;20;0;0;1;0;NULL
COGE;dbo;PROVA;7;AnaPiva;varchar;11;0;0;0;0;NULL
COGE;dbo;PROVA;8;CodiceFiscale;varchar;16;0;0;0;0;NULL
COGE;dbo;PROVA;9;Denominazione;varchar;60;0;0;0;0;NULL
COGE;dbo;PROVA;10;Nome;varchar;30;0;0;0;0;NULL
COGE;dbo;PROVA;11;Cognome;varchar;30;0;0;0;0;NULL
COGE;dbo;PROVA;12;Indirizzo;varchar;50;0;0;0;0;NULL
COGE;dbo;PROVA;13;Comune;varchar;50;0;0;0;0;NULL
COGE;dbo;PROVA;14;Provincia;varchar;2;0;0;1;0;NULL
COGE;dbo;PROVA;15;Nazione;varchar;2;0;0;1;0;NULL
COGE;dbo;PROVA;16;TipoDocumento;varchar;4;0;0;0;0;NULL
COGE;dbo;PROVA;17;Data;varchar;10;0;0;0;0;NULL
COGE;dbo;PROVA;18;Numero;varchar;61;0;0;1;0;NULL
COGE;dbo;PROVA;19;ImponibileImporto;decimal;17;38;2;1;0;NULL
COGE;dbo;PROVA;20;Imposta;decimal;17;38;2;1;0;NULL
COGE;dbo;PROVA;21;Aliquota;decimal;5;5;2;1;0;NULL
COGE;dbo;PROVA;22;Natura;varchar;2;0;0;0;0;NULL
COGE;dbo;PROVA;23;Detraibile;decimal;5;5;2;1;0;NULL
COGE;dbo;PROVA;24;Deducibile;varchar;1;0;0;1;0;NULL
COGE;dbo;PROVA;25;EsigibilitaIva;varchar;1;0;0;0;0;NULL
