database_name;schema_name;object_name;object_type;object_type_desc;create_date;modify_date
DCDC;dbo;DF__dtpropert__versi__77BFCB91;D ;DEFAULT_CONSTRAINT;2004-09-15 10:48:56.357;2004-09-15 10:48:56.357
DCDC;dbo;DF_TBCDC_CdcDes;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.247;2004-10-11 11:05:13.247
DCDC;dbo;DF_TBCOG_CogCdc;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.263;2004-10-11 11:05:13.263
DCDC;dbo;DF_TBCOG_CogConto;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.263;2004-10-11 11:05:13.263
DCDC;dbo;DF_TBCOG_CogPerc;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.263;2004-10-11 11:05:13.263
DCDC;dbo;DF_TBCOG_CogRep;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.263;2004-10-11 11:05:13.263
DCDC;dbo;DF_TBLDP_LdpDes;D ;DEFAULT_CONSTRAINT;2018-09-17 14:03:23.010;2018-09-17 14:03:23.010
DCDC;dbo;DF_TBMCC_MCCCogCdc;D ;DEFAULT_CONSTRAINT;2018-09-17 11:28:14.120;2018-09-17 11:28:14.120
DCDC;dbo;DF_TBMCC_MCCCogConto;D ;DEFAULT_CONSTRAINT;2018-09-17 11:28:14.140;2018-09-17 11:28:14.140
DCDC;dbo;DF_TBMCC_MCCCogDet;D ;DEFAULT_CONSTRAINT;2018-09-17 11:28:14.137;2018-09-17 11:28:14.137
DCDC;dbo;DF_TBMCC_MCCCogRep;D ;DEFAULT_CONSTRAINT;2018-09-17 11:28:14.127;2018-09-17 11:28:14.127
DCDC;dbo;DF_TBMCC_MCCIMPORTO;D ;DEFAULT_CONSTRAINT;2018-09-17 11:28:14.147;2018-09-17 11:28:14.147
DCDC;dbo;DF_TBREP_RepDes;D ;DEFAULT_CONSTRAINT;2004-10-11 11:05:13.327;2004-10-11 11:05:13.327
DCDC;dbo;DF_TMPTCM_LDPSIGLA;D ;DEFAULT_CONSTRAINT;2018-09-17 15:12:18.560;2018-09-17 15:12:18.560
DCDC;dbo;DF_TRMCC_MCCCogCdc;D ;DEFAULT_CONSTRAINT;2018-09-17 15:02:53.467;2018-09-17 15:02:53.467
DCDC;dbo;DF_TRMCC_MCCCogConto;D ;DEFAULT_CONSTRAINT;2018-09-17 15:02:53.493;2018-09-17 15:02:53.493
DCDC;dbo;DF_TRMCC_MCCCogDet;D ;DEFAULT_CONSTRAINT;2018-09-17 15:02:53.483;2018-09-17 15:02:53.483
DCDC;dbo;DF_TRMCC_MCCCogRep;D ;DEFAULT_CONSTRAINT;2018-09-17 15:02:53.477;2018-09-17 15:02:53.477
DCDC;dbo;DF_TRMCC_MCCIMPORTO;D ;DEFAULT_CONSTRAINT;2018-09-17 15:02:53.500;2018-09-17 15:02:53.500
DCDC;dbo;pk_dtproperties;PK;PRIMARY_KEY_CONSTRAINT;2004-09-15 10:48:56.357;2004-09-15 10:48:56.357
DCDC;dbo;PK_TBCDC;PK;PRIMARY_KEY_CONSTRAINT;2004-10-11 11:05:13.170;2004-10-11 11:05:13.170
DCDC;dbo;PK_TBCOG;PK;PRIMARY_KEY_CONSTRAINT;2004-10-11 11:05:13.200;2004-10-11 11:05:13.200
DCDC;dbo;PK_TBLDP_1;PK;PRIMARY_KEY_CONSTRAINT;2018-09-17 14:21:55.353;2018-09-17 14:21:55.353
DCDC;dbo;PK_TBMCC;PK;PRIMARY_KEY_CONSTRAINT;2018-09-17 11:28:14.107;2018-09-17 11:28:14.107
DCDC;dbo;PK_TBREP;PK;PRIMARY_KEY_CONSTRAINT;2004-10-11 11:05:13.230;2004-10-11 11:05:13.230
DCDC;dbo;PK_TRMCC;PK;PRIMARY_KEY_CONSTRAINT;2018-09-17 15:02:53.447;2018-09-17 15:02:53.447
DCDC;dbo;FnCDCF1;IF;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.107;2011-12-06 08:34:00.320
DCDC;dbo;FnRipCdc;IF;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.200;2011-12-06 08:34:00.320
DCDC;dbo;FnRipRip;IF;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.280;2011-12-06 08:34:00.320
DCDC;dbo;RLDPCREA;P ;SQL_STORED_PROCEDURE;2018-09-17 15:14:45.993;2018-09-17 15:14:45.993
DCDC;dbo;RLDPRIP;P ;SQL_STORED_PROCEDURE;2018-09-17 15:03:40.990;2018-09-17 15:15:34.767
DCDC;dbo;XDADCG;P ;SQL_STORED_PROCEDURE;2018-09-17 14:55:47.343;2018-09-17 14:55:47.343
DCDC;dbo;XGRIDFAT;P ;SQL_STORED_PROCEDURE;2018-09-18 11:57:02.340;2018-09-18 12:24:53.023
DCDC;dbo;XGRIDFATPRINT;P ;SQL_STORED_PROCEDURE;2018-09-18 12:08:05.897;2018-09-18 12:08:05.897
DCDC;dbo;XGRIDPNOTA;P ;SQL_STORED_PROCEDURE;2018-09-18 11:57:28.117;2018-09-18 12:08:40.047
DCDC;dbo;XGRIDPNOTAONE;P ;SQL_STORED_PROCEDURE;2018-09-18 12:09:05.467;2018-09-18 12:09:05.467
DCDC;dbo;XGRIDPNOTAPRINT;P ;SQL_STORED_PROCEDURE;2018-09-18 12:09:54.080;2018-09-18 12:09:54.080
DCDC;dbo;XLDPCREA;P ;SQL_STORED_PROCEDURE;2018-09-17 15:12:37.290;2018-09-17 15:12:37.290
DCDC;dbo;XLDPRIP;P ;SQL_STORED_PROCEDURE;2018-09-17 14:59:48.993;2018-09-17 15:16:19.873
DCDC;dbo;XMONDOCpt;P ;SQL_STORED_PROCEDURE;2018-09-18 11:59:57.920;2018-09-18 11:59:57.920
DCDC;dbo;XRIPARTO;P ;SQL_STORED_PROCEDURE;2018-09-18 11:59:15.910;2018-09-18 11:59:15.910
DCDC;dbo;XRipCpt;P ;SQL_STORED_PROCEDURE;2005-10-24 09:52:55.927;2011-12-06 08:34:00.323
DCDC;dbo;XYNOCLAS;P ;SQL_STORED_PROCEDURE;2008-05-15 17:53:08.640;2011-12-06 08:34:00.327
DCDC;dbo;YLPCDRE;P ;SQL_STORED_PROCEDURE;2007-01-30 16:07:45.840;2011-12-06 08:34:00.323
DCDC;dbo;TBCDC;U ;USER_TABLE;2004-10-11 11:05:13.077;2004-10-11 11:05:13.077
DCDC;dbo;TBCOG;U ;USER_TABLE;2004-10-11 11:05:13.090;2004-10-11 11:05:13.090
DCDC;dbo;TBDMC;U ;USER_TABLE;2005-05-02 12:36:26.750;2005-05-02 12:36:26.750
DCDC;dbo;TBIMC;U ;USER_TABLE;2018-09-17 11:28:14.160;2018-09-17 11:28:14.160
DCDC;dbo;TBLDP;U ;USER_TABLE;2018-09-17 14:03:22.983;2018-09-17 14:21:55.367
DCDC;dbo;TBMCC;U ;USER_TABLE;2018-09-17 11:28:14.107;2018-09-17 11:28:14.147
DCDC;dbo;TBREP;U ;USER_TABLE;2004-10-11 11:05:13.153;2004-10-11 11:05:13.153
DCDC;dbo;TMPCDC;U ;USER_TABLE;2005-05-02 12:36:26.967;2005-05-02 12:36:26.967
DCDC;dbo;TMPTCM;U ;USER_TABLE;2018-09-17 15:12:18.547;2018-09-17 15:12:18.560
DCDC;dbo;TRIMC;U ;USER_TABLE;2018-09-17 15:03:17.830;2018-09-17 15:03:17.830
DCDC;dbo;TRMCC;U ;USER_TABLE;2018-09-17 15:02:53.443;2018-09-17 15:02:53.500
DCDC;dbo;CRPIACDC;V ;VIEW;2019-08-26 12:09:02.423;2019-08-26 12:09:02.423
DCDC;dbo;VCDCCPT;V ;VIEW;2004-12-27 11:39:48.733;2011-12-06 08:34:00.320
DCDC;dbo;VCDCH8;V ;VIEW;2005-06-08 14:36:43.043;2011-12-06 08:34:00.323
DCDC;dbo;VCOG;V ;VIEW;2004-10-11 11:05:13.543;2011-12-06 08:34:00.317
DCDC;dbo;VPIA;V ;VIEW;2004-10-11 11:05:13.373;2011-12-06 08:34:00.313
