database_name;schema_name;routine_name;type_desc;create_date;modify_date
DCDC;dbo;FnCDCF1;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.107;2011-12-06 08:34:00.320
DCDC;dbo;FnRipCdc;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.200;2011-12-06 08:34:00.320
DCDC;dbo;FnRipRip;SQL_INLINE_TABLE_VALUED_FUNCTION;2004-10-11 11:05:18.280;2011-12-06 08:34:00.320
DCDC;dbo;RLDPCREA;SQL_STORED_PROCEDURE;2018-09-17 15:14:45.993;2018-09-17 15:14:45.993
DCDC;dbo;RLDPRIP;SQL_STORED_PROCEDURE;2018-09-17 15:03:40.990;2018-09-17 15:15:34.767
DCDC;dbo;XDADCG;SQL_STORED_PROCEDURE;2018-09-17 14:55:47.343;2018-09-17 14:55:47.343
DCDC;dbo;XGRIDFAT;SQL_STORED_PROCEDURE;2018-09-18 11:57:02.340;2018-09-18 12:24:53.023
DCDC;dbo;XGRIDFATPRINT;SQL_STORED_PROCEDURE;2018-09-18 12:08:05.897;2018-09-18 12:08:05.897
DCDC;dbo;XGRIDPNOTA;SQL_STORED_PROCEDURE;2018-09-18 11:57:28.117;2018-09-18 12:08:40.047
DCDC;dbo;XGRIDPNOTAONE;SQL_STORED_PROCEDURE;2018-09-18 12:09:05.467;2018-09-18 12:09:05.467
DCDC;dbo;XGRIDPNOTAPRINT;SQL_STORED_PROCEDURE;2018-09-18 12:09:54.080;2018-09-18 12:09:54.080
DCDC;dbo;XLDPCREA;SQL_STORED_PROCEDURE;2018-09-17 15:12:37.290;2018-09-17 15:12:37.290
DCDC;dbo;XLDPRIP;SQL_STORED_PROCEDURE;2018-09-17 14:59:48.993;2018-09-17 15:16:19.873
DCDC;dbo;XMONDOCpt;SQL_STORED_PROCEDURE;2018-09-18 11:59:57.920;2018-09-18 11:59:57.920
DCDC;dbo;XRIPARTO;SQL_STORED_PROCEDURE;2018-09-18 11:59:15.910;2018-09-18 11:59:15.910
DCDC;dbo;XRipCpt;SQL_STORED_PROCEDURE;2005-10-24 09:52:55.927;2011-12-06 08:34:00.323
DCDC;dbo;XYNOCLAS;SQL_STORED_PROCEDURE;2008-05-15 17:53:08.640;2011-12-06 08:34:00.327
DCDC;dbo;YLPCDRE;SQL_STORED_PROCEDURE;2007-01-30 16:07:45.840;2011-12-06 08:34:00.323
