database_name;schema_name;table_name;column_id;column_name;data_type;max_length;precision;scale;is_nullable;is_identity;default_definition
DCDC;dbo;TBCDC;1;CdcCod;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBCDC;2;CdcDes;varchar;50;0;0;0;0;('')
DCDC;dbo;TBCOG;1;CogLdp;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBCOG;2;CogCdc;smallint;2;5;0;0;0;(0)
DCDC;dbo;TBCOG;3;CogRep;smallint;2;5;0;0;0;(0)
DCDC;dbo;TBCOG;4;CogConto;varchar;5;0;0;0;0;('00.00')
DCDC;dbo;TBCOG;5;CogPerc;decimal;5;5;2;0;0;(0.00)
DCDC;dbo;TBDMC;1;DCGMCID;int;4;10;0;0;0;NULL
DCDC;dbo;TBDMC;2;DCGMCPROG;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBDMC;3;DCGMCCogLdp;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBDMC;4;DCGMCCogCdc;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBDMC;5;DCGMCCogRep;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBDMC;6;DCGMCCogConto;varchar;5;0;0;0;0;NULL
DCDC;dbo;TBDMC;7;DCGMCIMPORTO;decimal;9;13;2;0;0;NULL
DCDC;dbo;TBIMC;1;IDMCC;int;4;10;0;0;1;NULL
DCDC;dbo;TBIMC;2;IDMCDT;smalldatetime;4;16;0;0;0;NULL
DCDC;dbo;TBLDP;1;LdpRif;smallint;2;5;0;0;1;NULL
DCDC;dbo;TBLDP;2;LdpSigla;varchar;12;0;0;0;0;NULL
DCDC;dbo;TBLDP;3;LdpDesc;varchar;50;0;0;0;0;('')
DCDC;dbo;TBMCC;1;MCCID;int;4;10;0;0;0;NULL
DCDC;dbo;TBMCC;2;MCCPROG;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBMCC;3;MCCPrkAammgg;smalldatetime;4;16;0;0;0;NULL
DCDC;dbo;TBMCC;4;MCCPrkId;int;4;10;0;0;0;NULL
DCDC;dbo;TBMCC;5;MCCPrkProg;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBMCC;6;MCCPrkDa;varchar;1;0;0;0;0;NULL
DCDC;dbo;TBMCC;7;MCCCogLdp;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBMCC;8;MCCCogCdc;varchar;1;0;0;0;0;('0')
DCDC;dbo;TBMCC;9;MCCCogRep;smallint;2;5;0;0;0;((0))
DCDC;dbo;TBMCC;10;MCCCogDet;smallint;2;5;0;0;0;((0))
DCDC;dbo;TBMCC;11;MCCCogConto;varchar;5;0;0;0;0;('00.00')
DCDC;dbo;TBMCC;12;MCCIMPORTO;decimal;9;13;2;0;0;((0))
DCDC;dbo;TBREP;1;RepCod;smallint;2;5;0;0;0;NULL
DCDC;dbo;TBREP;2;RepDes;varchar;50;0;0;0;0;('')
DCDC;dbo;TMPCDC;1;IDTMP;int;4;10;0;0;0;NULL
DCDC;dbo;TMPCDC;2;TLDP;smallint;2;5;0;0;0;NULL
DCDC;dbo;TMPCDC;3;TCDC;smallint;2;5;0;0;0;NULL
DCDC;dbo;TMPCDC;4;TREP;smallint;2;5;0;0;0;NULL
DCDC;dbo;TMPCDC;5;TCONTO;varchar;5;0;0;0;0;NULL
DCDC;dbo;TMPCDC;6;QSALDO;decimal;9;11;2;0;0;NULL
DCDC;dbo;TMPCDC;7;TLDPDESC;varchar;50;0;0;1;0;NULL
DCDC;dbo;TMPCDC;8;TCDCDESC;varchar;50;0;0;1;0;NULL
DCDC;dbo;TMPCDC;9;TREPDESC;varchar;50;0;0;1;0;NULL
DCDC;dbo;TMPCDC;10;TCONTODESC;varchar;32;0;0;1;0;NULL
DCDC;dbo;TMPCDC;11;TCR;smallint;2;5;0;1;0;NULL
DCDC;dbo;TMPTCM;1;TMPID;int;4;10;0;0;0;NULL
DCDC;dbo;TMPTCM;2;LDPRIF;smallint;2;5;0;0;0;NULL
DCDC;dbo;TMPTCM;3;LDPSIGLA;varchar;12;0;0;0;0;('')
DCDC;dbo;TRIMC;1;IDMCC;int;4;10;0;0;1;NULL
DCDC;dbo;TRIMC;2;IDMCDT;smalldatetime;4;16;0;0;0;NULL
DCDC;dbo;TRMCC;1;MCCID;int;4;10;0;0;0;NULL
DCDC;dbo;TRMCC;2;MCCPROG;smallint;2;5;0;0;0;NULL
DCDC;dbo;TRMCC;3;MCCPrkAammgg;smalldatetime;4;16;0;0;0;NULL
DCDC;dbo;TRMCC;4;MCCPrkId;int;4;10;0;0;0;NULL
DCDC;dbo;TRMCC;5;MCCPrkProg;smallint;2;5;0;0;0;NULL
DCDC;dbo;TRMCC;6;MCCPrkDa;varchar;1;0;0;0;0;NULL
DCDC;dbo;TRMCC;7;MCCCogLdp;smallint;2;5;0;0;0;NULL
DCDC;dbo;TRMCC;8;MCCCogCdc;varchar;1;0;0;0;0;((0))
DCDC;dbo;TRMCC;9;MCCCogRep;smallint;2;5;0;0;0;((0))
DCDC;dbo;TRMCC;10;MCCCogDet;smallint;2;5;0;0;0;((0))
DCDC;dbo;TRMCC;11;MCCCogConto;varchar;5;0;0;0;0;('00.00')
DCDC;dbo;TRMCC;12;MCCIMPORTO;decimal;9;13;2;0;0;((0))
