database_name;schema_name;object_name;object_type;object_type_desc;create_date;modify_date
GEVE;dbo;DF__dtpropert__versi__7C8480AE;D ;DEFAULT_CONSTRAINT;2004-06-07 08:48:34.890;2004-06-07 08:48:34.890
GEVE;dbo;DF__OrariStan__IsChi__00CC74E3;D ;DEFAULT_CONSTRAINT;2026-05-12 09:48:07.297;2026-05-12 09:48:07.297
GEVE;dbo;DF__TbArt__Art_CAMPI__1B69C5D8;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.797;2024-06-06 12:04:20.797
GEVE;dbo;DF__TbArt__ArtAttivo__1EDA6409;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.777;2024-06-06 12:04:20.777
GEVE;dbo;DF__TbArt__ArtCatP__464936E5;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.787;2024-06-06 12:04:20.787
GEVE;dbo;DF__TbArt__ArtColore__76432E21;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.810;2024-06-06 12:04:20.810
GEVE;dbo;DF__TbArt__ArtDisp_E__24740D25;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.807;2024-06-06 12:04:20.807
GEVE;dbo;DF__TbArt__ArtEAN13__1DE63FD0;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.777;2024-06-06 12:04:20.777
GEVE;dbo;DF__TbArt__ArtFlagAt__21E0EDE6;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.753;2024-06-06 12:04:20.753
GEVE;dbo;DF__TbArt__ArtFormat__7F428876;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.807;2024-06-06 12:04:20.807
GEVE;dbo;DF__TbArt__ArtGruppo__33765993;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.790;2024-06-06 12:04:20.790
GEVE;dbo;DF__TbArt__ArtImball__403B57D4;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.780;2024-06-06 12:04:20.780
GEVE;dbo;DF__TbArt__ArtPesoCn__412F7C0D;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.783;2024-06-06 12:04:20.783
GEVE;dbo;DF__TbArt__ArtProduc__1022305E;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.783;2024-06-06 12:04:20.783
GEVE;dbo;DF__TbArt__ArtProduz__1FCE8842;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.780;2024-06-06 12:04:20.780
GEVE;dbo;DF__TbArt__ArtPrzAcq__3EE80C3F;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.790;2024-06-06 12:04:20.790
GEVE;dbo;DF__TbArt__ArtPrzVen__3FDC3078;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.793;2024-06-06 12:04:20.793
GEVE;dbo;DF__TbArt__ArtRipien__766C7FFC;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.773;2024-06-06 12:04:20.773
GEVE;dbo;DF__TbArt__ArtSfuso__20C2AC7B;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.780;2024-06-06 12:04:20.780
GEVE;dbo;DF__TbArt__ArtSL__3282355A;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.790;2024-06-06 12:04:20.790
GEVE;dbo;DF__TbArt__ArtSLC__0856F164;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.793;2024-06-06 12:04:20.793
GEVE;dbo;DF__TbArt__ArtTest__351EAAE3;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.787;2024-06-06 12:04:20.787
GEVE;dbo;DF__TbArt__ArtTipo62__6F2063EF;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.773;2024-06-06 12:04:20.773
GEVE;dbo;DF__TbArt__ArtXDesc__2F26A5C2;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.797;2024-06-06 12:04:20.797
GEVE;dbo;DF__TbArt__ArtXDesc2__301AC9FB;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.800;2024-06-06 12:04:20.800
GEVE;dbo;DF__TbArt__ArtXDesc3__310EEE34;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.800;2024-06-06 12:04:20.800
GEVE;dbo;DF__TbArt__ArtXDesc4__3203126D;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.800;2024-06-06 12:04:20.800
GEVE;dbo;DF__TbArt__ArtXDesc5__32F736A6;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.803;2024-06-06 12:04:20.803
GEVE;dbo;DF__TbArt__ArtXFlag__33EB5ADF;D ;DEFAULT_CONSTRAINT;2024-06-06 12:04:20.803;2024-06-06 12:04:20.803
GEVE;dbo;DF__TbAziPA__APAlleg__744F2D60;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.720;2018-12-11 09:46:34.720
GEVE;dbo;DF__TbAziPA__APBluen__70554AA1;D ;DEFAULT_CONSTRAINT;2021-09-02 16:18:44.257;2021-09-02 16:18:44.257
GEVE;dbo;DF__TbAziPA__APBnPas__723D9313;D ;DEFAULT_CONSTRAINT;2021-09-02 16:18:44.277;2021-09-02 16:18:44.277
GEVE;dbo;DF__TbAziPA__APBnUse__71496EDA;D ;DEFAULT_CONSTRAINT;2021-09-02 16:18:44.277;2021-09-02 16:18:44.277
GEVE;dbo;DF__TbAziPA__APCodFi__6B123DEE;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.667;2018-12-11 09:46:34.667
GEVE;dbo;DF__TbAziPA__APCodic__14BBFCF2;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.783;2018-12-11 09:46:34.783
GEVE;dbo;DF__TbAziPA__APGGInd__6F4B4C78;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.810;2018-12-11 09:46:34.810
GEVE;dbo;DF__TbAziPA__APIstit__13C7D8B9;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.770;2018-12-11 09:46:34.770
GEVE;dbo;DF__TbAziPA__APPassw__11DF9047;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.747;2018-12-11 09:46:34.747
GEVE;dbo;DF__TbAziPA__APPorta__15B0212B;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.797;2018-12-11 09:46:34.797
GEVE;dbo;DF__TbAziPA__APPosta__12D3B480;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.760;2018-12-11 09:46:34.760
GEVE;dbo;DF__TbAziPA__APRegEs__46D346CA;D ;DEFAULT_CONSTRAINT;2019-01-23 17:26:33.627;2019-01-23 17:26:33.627
GEVE;dbo;DF__TbAziPA__APUser__10EB6C0E;D ;DEFAULT_CONSTRAINT;2018-12-11 09:46:34.730;2018-12-11 09:46:34.730
GEVE;dbo;DF__TbBol__BolAnnota__1F247CCC;D ;DEFAULT_CONSTRAINT;2025-11-05 09:32:20.910;2025-11-05 09:32:20.910
GEVE;dbo;DF__TbBol__BolAspBen__3E131840;D ;DEFAULT_CONSTRAINT;2024-06-18 16:16:55.343;2024-06-18 16:16:55.343
GEVE;dbo;DF__TbBol__BolNote__65196D76;D ;DEFAULT_CONSTRAINT;2024-06-18 16:16:55.353;2024-06-18 16:16:55.353
GEVE;dbo;DF__TbBol__BolTipoFt__660D91AF;D ;DEFAULT_CONSTRAINT;2024-06-18 16:16:55.353;2024-06-18 16:16:55.353
GEVE;dbo;DF__TbBol__BolVarDes__3F073C79;D ;DEFAULT_CONSTRAINT;2024-06-18 16:16:55.347;2024-06-18 16:16:55.347
GEVE;dbo;DF__TbCli__ClStato__7F179FED;D ;DEFAULT_CONSTRAINT;2024-06-10 14:57:09.517;2024-06-10 14:57:09.517
GEVE;dbo;DF__TbFat__FatAnnota__257252FF;D ;DEFAULT_CONSTRAINT;2025-11-05 09:32:20.673;2025-11-05 09:32:20.673
GEVE;dbo;DF__TbFat__FatAspBen__238A0A8D;D ;DEFAULT_CONSTRAINT;2024-06-18 16:17:30.983;2024-06-18 16:17:30.983
GEVE;dbo;DF__TbFat__FatNote__73678CCD;D ;DEFAULT_CONSTRAINT;2024-06-18 16:17:30.990;2024-06-18 16:17:30.990
GEVE;dbo;DF__TbFat__FatTipoFt__745BB106;D ;DEFAULT_CONSTRAINT;2024-06-18 16:17:30.993;2024-06-18 16:17:30.993
GEVE;dbo;DF__TbFat__FatVarDes__247E2EC6;D ;DEFAULT_CONSTRAINT;2024-06-18 16:17:30.987;2024-06-18 16:17:30.987
GEVE;dbo;DF__TbFtCIG__FtCUP__24C9DE37;D ;DEFAULT_CONSTRAINT;2024-07-03 09:27:04.893;2024-07-03 09:27:04.893
GEVE;dbo;DF__TbFte__FteBlueNe__67C004A0;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.763;2025-01-15 08:54:19.763
GEVE;dbo;DF__TbFte__FteClient__090B1E7B;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.760;2025-01-15 08:54:19.760
GEVE;dbo;DF__TbFte__FteCodSta__0169FCB3;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.753;2025-01-15 08:54:19.753
GEVE;dbo;DF__TbFte__FteCUP__18A267C6;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.763;2025-01-15 08:54:19.763
GEVE;dbo;DF__TbFte__FteIdBN__69A84D12;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.767;2025-01-15 08:54:19.767
GEVE;dbo;DF__TbFte__FteIdCons__0446695E;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.760;2025-01-15 08:54:19.760
GEVE;dbo;DF__TbFte__FteIdSDI__6A9C714B;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.770;2025-01-15 08:54:19.770
GEVE;dbo;DF__TbFte__FteNomeFi__6B909584;D ;DEFAULT_CONSTRAINT;2025-01-15 08:54:19.770;2025-01-15 08:54:19.770
