database_name;schema_name;table_name;column_id;column_name;data_type;max_length;precision;scale;is_nullable;is_identity;default_definition
GEVE;dbo;ANACLI;1;Codice;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;2;Denominazione;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;3;Indirizzo;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;4;Cap;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;5;Comune;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;6;Prov#;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;7;Telefono;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;8;Fax;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;9;EMail;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;10;Referente;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;11;Pagamento;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;12;Partita IVA;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;13;Codice Fiscale;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;14;Nazione;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANACLI;15;PagCod;smallint;2;5;0;0;0;((0))
GEVE;dbo;ANACLI;16;XClCod;varchar;5;0;0;0;0;('')
GEVE;dbo;ANAPROD;1;CODICE;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANAPROD;2;DESCRIZIONE;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANAPROD;3;MINIDESC;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANAPROD;4;CATEGORIA;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANAPROD;5;PREZZO;float;8;53;0;1;0;NULL
GEVE;dbo;ANAPROD;6;UMA;nvarchar;510;0;0;1;0;NULL
GEVE;dbo;ANAPROD;7;CATCOD;varchar;2;0;0;1;0;NULL
GEVE;dbo;Back_TbArt;1;ArtId;int;4;10;0;0;1;NULL
GEVE;dbo;Back_TbArt;2;ArtCod;varchar;20;0;0;0;0;NULL
GEVE;dbo;Back_TbArt;3;ArtDesc;varchar;100;0;0;0;0;NULL
GEVE;dbo;Back_TbArt;4;ArtMinidesc;varchar;25;0;0;0;0;NULL
GEVE;dbo;Back_TbArt;5;ArtTipoProd;varchar;1;0;0;0;0;NULL
GEVE;dbo;Back_TbArt;6;ArtCat;varchar;2;0;0;0;0;NULL
