database_name;schema_name;table_name;column_id;column_name;data_type;max_length;precision;scale;is_nullable;is_identity;default_definition
VDOX;dbo;sysdiagrams;1;name;sysname;256;0;0;0;0;NULL
VDOX;dbo;sysdiagrams;2;principal_id;int;4;10;0;0;0;NULL
VDOX;dbo;sysdiagrams;3;diagram_id;int;4;10;0;0;1;NULL
VDOX;dbo;sysdiagrams;4;version;int;4;10;0;1;0;NULL
VDOX;dbo;sysdiagrams;5;definition;varbinary;-1;0;0;1;0;NULL
VDOX;dbo;TbAccessi;1;Entrata;datetime;8;23;3;1;0;NULL
VDOX;dbo;TbAccessi;2;Uscita;datetime;8;23;3;1;0;NULL
VDOX;dbo;TbAccessi;3;Workstation;varchar;40;0;0;1;0;NULL
VDOX;dbo;TbAccessi;4;Utente;varchar;20;0;0;1;0;('')
VDOX;dbo;TbAccessi;5;Programma;varchar;80;0;0;1;0;NULL
VDOX;dbo;TbAccessi;6;Errore;varchar;1;0;0;0;0;('')
VDOX;dbo;TbAccessi;7;DescErrore;varchar;200;0;0;0;0;('')
VDOX;dbo;TbAccessi;8;InfoErrore;varchar;4000;0;0;0;0;('')
VDOX;dbo;TbAna;1;AnaProg;int;4;10;0;0;1;NULL
VDOX;dbo;TbAna;2;AnaDesc;varchar;90;0;0;0;0;NULL
VDOX;dbo;TbAna;3;AnaPiva;varchar;11;0;0;0;0;NULL
VDOX;dbo;TbAna;4;AnaCfis;varchar;16;0;0;0;0;NULL
VDOX;dbo;TbAna;5;AnaIndirizzo;varchar;50;0;0;0;0;NULL
VDOX;dbo;TbAna;6;AnaCap;varchar;5;0;0;0;0;NULL
VDOX;dbo;TbAna;7;AnaCitta;varchar;50;0;0;0;0;NULL
VDOX;dbo;TbAna;8;AnaProv;varchar;2;0;0;0;0;NULL
VDOX;dbo;TbAna;9;AnaTel1;varchar;20;0;0;0;0;NULL
VDOX;dbo;TbAna;10;AnaTel2;varchar;20;0;0;0;0;NULL
VDOX;dbo;TbAna;11;AnaTel3;varchar;20;0;0;0;0;NULL
VDOX;dbo;TbAna;12;AnaWww;varchar;50;0;0;0;0;NULL
VDOX;dbo;TbAna;13;AnaEmail;varchar;50;0;0;0;0;NULL
VDOX;dbo;TbAna;14;AnaGrp;varchar;2;0;0;0;0;NULL
VDOX;dbo;TbAna;15;AnaCod;varchar;5;0;0;0;0;NULL
VDOX;dbo;TbAna;16;AnaResp;varchar;50;0;0;0;0;NULL
VDOX;dbo;TbAna;17;AnaNote;varchar;3000;0;0;0;0;NULL
